circuitstring,Parameters
"R1-[P2,R3]","{'R1': 139.14713040060622, 'P2w': 1.98665442028285e-06, 'P2n': 0.9373079958124861, 'R3': 4629850.951188914}"
"R1-[P2,R3]","{'R1': 139.14713035220848, 'P2w': 1.9866544203270587e-06, 'P2n': 0.9373079956863077, 'R3': 4629850.9553735275}"
